dealership,state,city,channel,url,source
Winter Haven Honda,FL,Winter Haven,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Veterans Ford,FL,Tampa,Website,https://veteransfordtampa.com/,sheet
Veterans Ford,FL,Tampa,Facebook,https://www.facebook.com/veteransfordtampa/,sheet
Veterans Ford,FL,Tampa,Instagram (site-linked),https://www.instagram.com/veteransford1/,sheet
Veterans Ford,FL,Tampa,Instagram (2nd - larger),https://www.instagram.com/veteransfordtampa/,sheet
Veterans Ford,FL,Tampa,TikTok,https://www.tiktok.com/@veteransford_,web-2026-08-22
Veterans Ford,FL,Tampa,X,https://twitter.com/veterans_ford,sheet
Veterans Ford,FL,Tampa,YouTube,https://www.youtube.com/c/VeteransFord,web-2026-08-22
Automotive Financial of America,FL,Orlando,Website,https://www.afoainc.com/,sheet
Automotive Financial of America,FL,Orlando,Facebook,NO ACCOUNT - finance office not a dealership,sheet
Automotive Financial of America,FL,Orlando,Instagram,NO ACCOUNT - finance office not a dealership,sheet
Automotive Financial of America,FL,Orlando,TikTok,NO ACCOUNT - finance office not a dealership,sheet
Greenway CDJR of Rome,GA,Rome,Website,https://www.greenwaycdjrofrome.com/,sheet
Greenway CDJR of Rome,GA,Rome,Facebook,https://www.facebook.com/GreenwayCDJRofRome,sheet
Greenway CDJR of Rome,GA,Rome,Instagram,https://www.instagram.com/greenwaycdjrofromega/,sheet
Greenway CDJR of Rome,GA,Rome,X,https://twitter.com/CdjrGa,sheet
Greenway CDJR of Rome,GA,Rome,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Nissan of Brunswick,GA,Brunswick,Website,https://www.greenwaynissanbrunswick.com/,sheet
Greenway Nissan of Brunswick,GA,Brunswick,Facebook,https://www.facebook.com/GreenwayNissanBrunswick,sheet
Greenway Nissan of Brunswick,GA,Brunswick,Instagram,https://www.instagram.com/greenway_nissan_brunswick/,sheet
Greenway Nissan of Brunswick,GA,Brunswick,YouTube,https://www.youtube.com/@greenwaynissanbrunswick1513,web-2026-08-22
Greenway Nissan of Brunswick,GA,Brunswick,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Ford Kansas City [PILOT],MO,Raytown,Website,https://www.greenwayfordkc.com/,sheet
Greenway Ford Kansas City [PILOT],MO,Raytown,Facebook,https://www.facebook.com/greenwayfordraytown,sheet
Greenway Ford Kansas City [PILOT],MO,Raytown,YouTube,https://www.youtube.com/@GreenwayFordofKansasCity-zw6sj,sheet
Greenway Ford Kansas City [PILOT],MO,Raytown,DealerRater,https://www.dealerrater.com/dealer/Greenway-Ford-review-29227/,sheet
Greenway Ford Kansas City [PILOT],MO,Raytown,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Greenway Ford Kansas City [PILOT],MO,Raytown,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Norristown CDJR,PA,Norristown,Website,https://www.norristownchryslerdodge.com/,sheet
Norristown CDJR,PA,Norristown,Facebook,https://www.facebook.com/NorristownCDJR/,sheet
